用户id,语音通话整体满意度,网络覆盖与信号强度,语音通话清晰度,语音通话稳定性,是否遇到过网络问题,居民小区,办公室,高校,商业街,地铁,农村,高铁,手机没有信号,有信号无法拨通,通话过程中突然中断,通话中有杂音、听不清、断断续续,串线,通话过程中一方听不见,脱网次数,mos质差次数,未接通掉话次数,4\5G用户,是否关怀用户,套外流量（MB）,是否4G网络客户（本地剔除物联网）,套外流量费（元）,外省语音占比,语音通话-时长（分钟）,省际漫游-时长（分钟）,终端品牌,终端品牌类型,当月ARPU,当月MOU,前3月ARPU,前3月MOU,外省流量占比,GPRS总流量（KB）,GPRS-国内漫游-流量（KB）,是否5G网络客户,客户星级标识,是否投诉,其他,医院,地下,山区,电梯,道路,其他.1
11,4.0,4.0,4.0,4.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,0.0,0.0,0.0,5G,,0.0,是,0.0,1.0,308.0,308.0,苹果,A2404,78.0,308.0,0.0,534.0,1.0,9083517.0,9083517.0,是,三星,0.0,-1,-1,-1,-1,-1,-1,-1
12,10.0,10.0,10.0,10.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0,1.0,-1.0,-1.0,0.0,2.0,0.0,4G,,0.0,是,0.0,1.0,182.0,182.0,华为,LON-AL00,43.94,182.0,0.0,192.0,1.0,17584927.0,17584927.0,否,二星,0.0,-1,-1,-1,-1,-1,-1,-1
13,10.0,10.0,10.0,10.0,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,4G,,43.95,是,10.0,1.0,174.0,174.0,步步高,V1901A,18.0,174.0,0.0,168.0,1.0,128939.0,128939.0,否,三星,0.0,-1,-1,-1,-1,-1,-1,-1
14,8.0,6.0,8.0,7.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,0.0,0.0,0.0,5G,,137.65,是,14.93,1.0,185.0,185.0,华为,JEF-AN20,81.93,185.0,0.0,275.0,1.0,21134232.0,21134232.0,是,三星,0.0,-1,-1,-1,-1,-1,-1,-1
15,10.0,10.0,10.0,10.0,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,4G,,0.0,是,0.0,1.0,131.0,131.0,华为,MED-AL20,100.0,131.0,0.0,88.0,1.0,2877605.0,2877605.0,否,三星,0.0,-1,-1,-1,-1,-1,-1,-1
16,10.0,10.0,10.0,10.0,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,4G,,0.0,是,0.0,1.0,460.0,460.0,小米科技,M2001G7AE,31.0,460.0,0.0,304.0,1.0,187362.0,187362.0,否,三星,0.0,-1,-1,-1,-1,-1,-1,-1
17,10.0,10.0,10.0,10.0,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,4G,,0.0,是,0.0,1.0,147.0,147.0,华为,DUA-AL00,20.45,147.0,0.0,120.0,1.0,84512.0,84512.0,否,二星,0.0,-1,-1,-1,-1,-1,-1,-1
18,9.0,9.0,9.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,-1.0,0.0,0.0,0.0,4G,,0.0,是,0.0,1.0,209.0,209.0,realme,RMX3366,21.0,209.0,0.0,272.0,1.0,22229413.0,22229413.0,否,一星,0.0,-1,-1,-1,-1,-1,-1,-1
19,10.0,10.0,10.0,10.0,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,5G,,0.0,是,0.0,1.0,216.0,216.0,苹果,A2104,45.0,216.0,0.0,143.0,1.0,4090068.0,4090068.0,是,二星,0.0,-1,-1,-1,-1,-1,-1,-1
20,10.0,10.0,10.0,9.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,5G,,0.0,是,0.0,1.0,1032.0,1032.0,华为,NTH-AN00,130.0,1032.0,0.0,766.0,1.0,8489371.0,8489371.0,是,银卡,0.0,-1,-1,-1,-1,-1,-1,-1
21,10.0,10.0,10.0,10.0,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,224.0,4.0,0.0,4G,,13.83,是,10.0,1.0,102.0,102.0,欧珀,PDVM00,41.11,102.0,0.0,386.0,1.0,456367.0,456367.0,否,二星,0.0,-1,-1,-1,-1,-1,-1,-1
22,10.0,9.0,10.0,10.0,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,4G,,0.0,是,0.0,1.0,122.0,122.0,华为,SPN-AL00,56.98,122.0,0.0,250.0,1.0,33512536.0,33512536.0,否,二星,0.0,-1,-1,-1,-1,-1,-1,-1
23,10.0,9.0,10.0,8.0,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,4G,,0.0,是,0.0,1.0,218.0,218.0,华为,LIO-AN00,31.7,218.0,0.0,2679.0,1.0,100557.0,100557.0,否,二星,0.0,-1,-1,-1,-1,-1,-1,-1
24,2.0,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,-1.0,1.0,-1.0,1.0,0.0,0.0,0.0,4G,,0.0,是,0.0,1.0,279.0,279.0,苹果,iPhone 8 Plus A1864,62.0,279.0,0.0,590.0,1.0,6256219.0,6256219.0,否,二星,0.0,-1,-1,-1,-1,-1,-1,-1
25,10.0,10.0,10.0,10.0,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,4G,,0.0,是,0.0,1.0,295.0,295.0,步步高,V2034A,66.0,295.0,0.0,330.0,1.0,45645300.0,45645300.0,否,三星,0.0,-1,-1,-1,-1,-1,-1,-1
26,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,1.0,0.0,0.0,0.0,4G,,0.0,是,0.0,1.0,2093.0,2093.0,苹果,iPhone 6S PLUS A1699,211.0,2093.0,0.0,1669.0,1.0,29985114.0,29985114.0,否,银卡,0.0,-1,-1,-1,-1,-1,-1,-1
27,7.0,5.0,7.0,5.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,-1.0,1.0,0.0,0.0,0.0,5G,,0.0,是,0.0,1.0,438.0,438.0,华为,LIO-AN00m,131.6,438.0,0.0,1261.0,1.0,15982740.0,15982740.0,是,银卡,0.0,-1,-1,-1,-1,-1,-1,-1
28,8.0,7.0,4.0,7.0,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,4.0,0.0,4G,,0.0,是,0.0,1.0,89.0,89.0,苹果,iPhone 7Plus A1661,39.0,89.0,0.0,182.0,1.0,2198671.0,2198671.0,否,银卡,0.0,-1,-1,-1,-1,-1,-1,-1
29,9.0,8.0,8.0,9.0,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,2.0,0.0,4G,,0.0,是,0.0,1.0,106.0,106.0,小米科技,M2104K10AC,10.28,106.0,0.0,105.0,1.0,8359319.0,8359319.0,否,三星,0.0,-1,-1,-1,-1,-1,-1,-1
30,10.0,6.0,8.0,7.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,26.0,0.0,0.0,4G,,0.0,是,0.0,1.0,157.0,157.0,小米科技,M2010J19SC,41.56,157.0,0.0,203.0,1.0,18596631.0,18596631.0,否,三星,0.0,-1,-1,-1,-1,-1,-1,-1
31,10.0,7.0,8.0,7.0,1.0,-1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,-1.0,1.0,0.0,0.0,0.0,5G,,0.0,是,15.0,1.0,469.0,469.0,苹果,A2639,44.1,469.0,0.0,625.0,1.0,14043534.0,14043534.0,是,三星,0.0,-1,-1,-1,-1,-1,-1,-1
32,10.0,10.0,10.0,10.0,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,4G,,0.0,是,0.0,1.0,136.0,136.0,华为,CDY-AN90,8.0,136.0,0.0,229.0,1.0,62756.0,62756.0,否,三星,0.0,-1,-1,-1,-1,-1,-1,-1
33,10.0,10.0,10.0,10.0,1.0,1.0,-1.0,-1.0,-1.0,1.0,1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,4G,,0.0,是,0.0,1.0,96.0,96.0,苹果,A2223,100.0,96.0,0.0,120.0,1.0,3182458.0,3182458.0,否,银卡,0.0,-1,-1,-1,-1,-1,-1,-1
34,10.0,10.0,10.0,10.0,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,4G,,0.0,是,0.0,1.0,66.0,66.0,步步高,V1829A,18.19,66.0,0.0,68.0,1.0,21028.0,21028.0,否,三星,0.0,-1,-1,-1,-1,-1,-1,-1
35,10.0,9.0,10.0,9.0,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,4G,,0.0,是,0.0,1.0,172.0,172.0,步步高,V2023A,35.28,172.0,0.0,132.0,1.0,9782615.0,9782615.0,否,三星,0.0,-1,-1,-1,-1,-1,-1,-1
36,10.0,9.0,9.0,9.0,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,5G,,0.0,是,0.0,1.0,111.0,111.0,欧珀,PEGM10,95.08,111.0,0.0,163.0,1.0,11563171.0,11563171.0,是,二星,0.0,-1,-1,-1,-1,-1,-1,-1
37,10.0,10.0,10.0,10.0,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,4G,,0.0,是,0.0,1.0,476.0,476.0,华为,LYA-AL00P,105.0,476.0,0.0,885.0,1.0,46851567.0,46851567.0,否,三星,0.0,-1,-1,-1,-1,-1,-1,-1
38,10.0,10.0,10.0,10.0,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,4G,,0.0,是,0.0,1.0,254.0,254.0,苹果,iPhone 8 A1863,114.0,254.0,0.0,194.0,1.0,16862062.0,16862062.0,否,银卡,0.0,-1,-1,-1,-1,-1,-1,-1
39,10.0,10.0,10.0,10.0,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,4G,,152.91,是,40.0,1.0,196.0,196.0,欧珀,PBAM00,59.48,196.0,0.0,96.0,1.0,1010474.0,1010474.0,否,三星,0.0,-1,-1,-1,-1,-1,-1,-1
40,10.0,10.0,10.0,10.0,1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,0.0,0.0,0.0,4G,,75.93,是,15.8,1.0,219.0,219.0,苹果,iPhone 7Plus A1661,64.36,219.0,0.0,389.0,1.0,3959657.0,3959657.0,否,银卡,0.0,-1,-1,-1,-1,-1,-1,-1
41,10.0,10.0,10.0,10.0,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,5G,,0.0,是,0.0,1.0,317.0,317.0,步步高,V2047A,145.0,317.0,0.0,356.0,1.0,9606789.0,9606789.0,是,银卡,0.0,-1,-1,-1,-1,-1,-1,-1
42,10.0,10.0,10.0,10.0,1.0,-1.0,1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,-1.0,1.0,1.0,-1.0,1.0,0.0,6.0,1.0,5G,,0.0,是,0.0,1.0,49.0,49.0,苹果,A2404,21.0,49.0,0.0,369.0,1.0,17147016.0,17147016.0,是,一星,0.0,-1,-1,-1,-1,-1,-1,-1
43,8.0,9.0,8.0,8.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,0.0,0.0,0.0,5G,,0.0,是,0.0,1.0,1181.0,1181.0,苹果,A2639,161.0,1181.0,0.0,1250.0,1.0,18282992.0,18282992.0,是,银卡,0.0,-1,-1,-1,-1,-1,-1,-1
44,10.0,10.0,10.0,10.0,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,4G,,104.42,是,14.64,1.0,39.0,39.0,华为,STK-AL00,24.64,39.0,0.0,78.0,1.0,121537.0,121537.0,否,三星,0.0,-1,-1,-1,-1,-1,-1,-1
45,8.0,8.0,8.0,8.0,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,5G,,344.59,是,60.0,1.0,64.0,64.0,华为,OXF-AN10,73.75,64.0,0.0,87.0,1.0,1889442.0,1889442.0,是,一星,0.0,-1,-1,-1,-1,-1,-1,-1
46,10.0,10.0,10.0,10.0,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,4G,,1071.89,是,30.0,1.0,159.0,159.0,苹果,iPhone 7Plus A1661,162.0,159.0,0.0,262.0,1.0,80135588.0,80135588.0,否,银卡,0.0,-1,-1,-1,-1,-1,-1,-1
47,7.0,8.0,8.0,7.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,0.0,0.0,0.0,5G,,0.0,是,0.0,1.0,1124.0,1124.0,华为,EBG-AN00,34.4,1124.0,0.0,570.0,1.0,17170595.0,17170595.0,是,二星,0.0,-1,-1,-1,-1,-1,-1,-1
48,10.0,10.0,10.0,10.0,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,4G,,0.0,是,0.0,1.0,1034.0,1034.0,华为,SEA-AL10,118.0,1034.0,0.0,765.0,1.0,484432.0,484432.0,否,银卡,0.0,-1,-1,-1,-1,-1,-1,-1
49,10.0,10.0,10.0,10.0,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,5G,,0.0,是,0.0,1.0,185.0,185.0,华为,CDY-AN20,65.0,185.0,0.0,138.0,1.0,3833448.0,3833448.0,是,三星,0.0,-1,-1,-1,-1,-1,-1,-1
50,10.0,10.0,10.0,10.0,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,5G,,0.0,是,0.0,1.0,305.0,305.0,步步高,V2048A,24.0,305.0,0.0,139.0,1.0,6441883.0,6441883.0,是,三星,0.0,-1,-1,-1,-1,-1,-1,-1
51,10.0,10.0,10.0,10.0,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,4G,,0.0,是,0.0,1.0,81.0,81.0,苹果,A2411,25.0,81.0,0.0,71.0,1.0,900952.0,900952.0,否,三星,0.0,-1,-1,-1,-1,-1,-1,-1
52,10.0,10.0,10.0,10.0,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,4G,,0.0,是,0.0,1.0,89.0,89.0,欧珀,PCDM10,90.0,89.0,0.0,282.0,1.0,2252861.0,2252861.0,否,银卡,0.0,-1,-1,-1,-1,-1,-1,-1
53,9.0,8.0,9.0,10.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,0.0,0.0,0.0,4G,,0.0,是,0.0,1.0,310.0,310.0,步步高,V1911A,88.19,310.0,0.0,591.0,1.0,1956892.0,1956892.0,否,三星,0.0,-1,-1,-1,-1,-1,-1,-1
54,4.0,3.0,5.0,7.0,1.0,1.0,1.0,-1.0,-1.0,1.0,-1.0,1.0,1.0,-1.0,1.0,1.0,-1.0,-1.0,0.0,0.0,0.0,4G,,0.0,是,0.0,1.0,260.0,260.0,苹果,A2639,21.0,260.0,0.0,384.0,1.0,14982188.0,14982188.0,否,二星,0.0,-1,-1,-1,-1,-1,-1,-1
55,9.0,8.0,9.0,9.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,4G,,0.0,是,0.0,1.0,803.0,803.0,苹果,A2104,165.0,803.0,0.0,603.0,1.0,10922812.0,10922812.0,否,银卡,0.0,-1,-1,-1,-1,-1,-1,-1
56,10.0,10.0,10.0,10.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,1.0,1.0,-1.0,-1.0,0.0,0.0,0.0,4G,,0.0,是,0.0,1.0,204.0,204.0,苹果,A2404,68.0,204.0,0.0,204.0,1.0,48734017.0,48734017.0,否,三星,0.0,-1,-1,-1,-1,-1,-1,-1
57,10.0,10.0,10.0,10.0,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,4G,,0.0,是,0.0,1.0,360.0,360.0,小米科技,MDE40,50.0,360.0,0.0,595.0,1.0,26872333.0,26872333.0,否,二星,0.0,-1,-1,-1,-1,-1,-1,-1
58,10.0,10.0,10.0,10.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,5G,,703.3,是,21.29,1.0,158.0,158.0,步步高,V2118A,63.64,158.0,0.0,256.0,1.0,22244606.0,22244606.0,是,三星,0.0,-1,-1,-1,-1,-1,-1,-1
59,10.0,10.0,10.0,10.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,4G,,0.0,是,0.0,1.0,1993.0,1993.0,苹果,A2634,345.0,1993.0,0.0,1980.0,1.0,29983965.0,29983965.0,否,白金卡,0.0,1,-1,-1,-1,-1,-1,-1
60,10.0,10.0,10.0,10.0,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,4G,,2080.56,是,51.0,1.0,157.0,157.0,华为,SEA-AL10,183.0,157.0,0.0,445.0,1.0,51906706.0,51906706.0,否,三星,0.0,-1,-1,-1,-1,-1,-1,-1
61,10.0,10.0,10.0,10.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,4G,,55.64,是,21.0,1.0,68.0,68.0,欧珀,PADM00,48.9,68.0,0.0,240.0,1.0,22755889.0,22755889.0,否,银卡,0.0,-1,-1,-1,-1,-1,-1,-1
62,10.0,5.0,8.0,8.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,0.0,0.0,0.0,4G,,0.0,是,0.0,1.0,123.0,123.0,华为,KOZ-AL00,86.1,123.0,0.0,313.0,1.0,21098550.0,21098550.0,否,三星,0.0,1,-1,-1,-1,-1,-1,-1
63,10.0,10.0,10.0,10.0,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,5G,,0.0,是,0.0,1.0,282.0,282.0,华为,NOH-AN00,83.0,282.0,0.0,187.0,1.0,48114253.0,48114253.0,是,三星,0.0,-1,-1,-1,-1,-1,-1,-1
64,10.0,10.0,10.0,10.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,4G,,0.0,是,0.0,1.0,815.0,815.0,苹果,iPhone 8 Plus A1864,120.0,815.0,0.0,642.0,1.0,17136267.0,17136267.0,否,银卡,0.0,-1,-1,-1,-1,-1,-1,-1
65,10.0,9.0,10.0,10.0,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,4.0,0.0,4G,,0.0,是,0.0,1.0,402.0,402.0,华为,NOH-AN01,98.0,402.0,0.0,376.0,1.0,172705.0,172705.0,否,三星,0.0,-1,-1,-1,-1,-1,-1,-1
66,8.0,9.0,9.0,8.0,1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,0.0,0.0,0.0,4G,,0.0,是,0.0,1.0,245.0,245.0,苹果,A2220,38.0,245.0,0.0,313.0,1.0,7910066.0,7910066.0,否,三星,0.0,-1,-1,-1,-1,-1,-1,-1
67,9.0,8.0,10.0,8.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0,8.0,0.0,0.0,4G,,0.0,是,0.0,1.0,78.0,78.0,小米科技,M2102J2SC,29.0,78.0,0.0,255.0,1.0,1658878.0,1658878.0,否,三星,0.0,-1,-1,-1,-1,-1,-1,-1
