用户,手机上网整体满意度,网络覆盖与信号强度,手机上网速度,手机上网稳定性,上网质差次数,脱网次数,微信质差次数,套外流量（MB）,套外流量费（元）,是否不限量套餐到达用户,终端品牌,终端品牌类型,是否5G网络客户,当月MOU,客户星级标识,场景问题次数,现象问题次数,大类问题次数,小类视频问题次数,小类游戏问题次数,全部应用问题次数,性别_女,性别_性别不详,性别_男
用户30,1,1,4,1,0,0,0,0.0,0.0,0,8,17,0,8.0,1,3,3,0,0,0,0,1,0,0
用户31,3,3,3,5,0,0,0,0.0,0.0,0,11,17,1,84.0,3,7,4,5,0,0,0,0,0,1
用户32,1,1,1,1,0,0,0,0.0,0.0,0,15,17,0,220.0,3,0,0,0,0,0,0,0,0,1
用户33,9,9,9,9,0,0,0,0.0,20.0,0,21,1,1,195.0,3,0,0,0,0,0,0,1,0,0
用户34,10,10,10,10,0,0,0,0.0,0.0,0,21,1,1,454.0,4,0,0,0,0,0,0,0,0,1
用户35,9,9,8,9,0,0,0,0.0,0.0,0,21,1,1,61.0,3,0,0,0,0,0,0,1,0,0
用户36,10,10,10,10,0,0,0,0.0,0.0,0,8,17,0,1643.0,5,0,0,0,0,0,0,0,0,1
用户37,10,10,10,10,0,0,0,0.0,0.0,0,21,1,1,29.0,3,0,0,0,0,0,0,1,0,0
用户38,9,9,9,9,0,0,0,0.0,0.0,1,11,6,1,1043.0,3,3,2,3,0,0,0,0,0,1
用户39,7,7,7,8,0,0,0,0.0,0.0,0,21,1,0,94.0,3,3,2,2,0,0,10,1,0,0
用户40,10,9,9,9,3,0,0,0.0,0.0,0,8,17,0,34.0,3,0,0,0,0,0,0,1,0,0
用户41,9,9,9,8,0,0,0,0.0,0.0,0,21,1,0,104.0,3,2,2,2,0,0,0,1,0,0
用户42,6,1,7,1,0,0,0,0.0,0.0,0,11,17,1,155.0,3,1,1,0,0,0,0,0,0,1
用户43,5,5,6,6,4,0,0,0.0,0.0,1,21,14,0,220.0,3,3,2,3,0,0,0,0,1,0
用户44,6,6,6,6,0,0,0,0.0,0.0,0,21,1,1,879.0,3,2,2,0,0,0,0,1,0,0
用户45,9,9,10,8,0,0,0,0.0,0.0,0,11,17,0,166.0,3,1,1,0,0,0,0,0,0,1
用户46,10,10,10,10,1,0,0,0.0,0.0,1,21,1,0,152.0,3,0,0,0,0,0,0,1,0,0
用户47,5,6,5,8,0,0,0,0.0,0.0,0,8,17,1,8.0,3,1,2,0,0,0,0,1,0,0
用户48,8,8,8,8,1,0,0,0.0,0.0,0,16,17,1,415.0,3,4,2,2,0,0,10,0,1,0
用户49,10,10,10,10,0,0,0,0.0,0.0,0,21,14,0,166.0,3,0,0,0,0,0,0,0,0,1
用户50,5,6,6,1,0,0,0,0.0,0.0,0,21,1,1,198.0,3,1,1,0,0,0,0,0,0,1
用户51,5,5,5,8,0,0,0,0.0,0.0,0,2,7,0,47.0,3,3,2,0,0,0,0,0,0,1
用户52,6,5,6,6,0,0,0,0.0,0.0,0,8,17,0,509.0,3,1,1,0,0,0,0,0,0,1
用户53,10,9,10,10,0,0,0,0.0,120.0,0,11,17,0,149.0,3,0,0,0,0,0,0,0,0,1
用户54,10,10,10,10,16,0,2,0.0,0.0,0,8,17,0,267.0,4,0,0,0,0,0,0,0,0,1
用户55,10,10,10,10,0,0,0,0.0,0.0,0,8,17,0,485.0,3,0,0,0,0,0,0,0,0,1
用户56,10,10,10,10,0,0,0,0.0,0.0,0,11,17,1,767.0,4,0,0,0,0,0,0,0,0,1
用户57,8,8,8,9,0,0,3,0.0,0.0,0,21,1,1,495.0,3,4,4,2,0,0,0,1,0,0
用户58,7,9,8,6,0,0,0,0.0,0.0,1,21,14,0,99.0,3,3,3,3,0,0,0,1,0,0
用户59,5,4,4,4,0,0,0,937.41,10.0,0,21,1,1,867.0,3,5,4,1,0,0,0,0,0,1
用户60,10,10,10,10,0,0,0,0.0,0.0,0,8,17,1,27.0,3,0,0,0,0,0,0,0,0,1
用户61,8,8,8,8,2,0,2,0.0,0.0,0,8,17,1,64.0,3,1,2,1,0,0,0,1,0,0
用户62,9,7,6,6,0,18,0,0.0,15.0,0,15,17,1,422.0,4,2,2,2,0,0,10,1,0,0
用户63,7,7,5,5,0,0,0,0.0,0.0,0,21,1,1,764.0,4,3,3,1,0,0,0,1,0,0
用户64,1,1,1,1,0,6,0,0.0,0.0,1,21,1,1,54.0,4,7,3,1,10,0,0,0,0,1
用户65,8,6,7,5,0,0,0,0.0,0.0,0,21,1,1,524.0,4,2,2,0,0,0,0,1,0,0
用户66,5,4,4,4,0,0,0,0.0,0.0,0,21,1,0,179.0,3,3,4,4,10,0,10,1,0,0
用户67,8,8,10,7,1,0,0,0.0,0.0,0,8,17,0,171.0,3,2,4,2,0,0,0,0,0,1
用户68,7,7,7,7,0,0,0,0.0,0.0,1,21,1,1,158.0,3,1,2,1,0,0,0,0,1,0
用户69,6,8,8,8,0,0,0,0.0,0.0,0,21,14,0,112.0,3,4,1,0,0,0,0,0,0,1
用户70,3,3,5,4,0,0,0,0.0,0.0,0,8,17,0,569.0,3,4,2,0,0,0,0,0,0,1
用户71,10,5,5,6,0,0,1,0.0,60.0,0,21,14,0,204.0,3,1,4,4,10,0,0,1,0,0
用户72,9,8,9,9,0,0,0,0.0,0.0,0,21,1,0,197.0,4,1,1,0,0,0,0,1,0,0
用户73,8,8,8,7,1,0,0,0.0,0.0,0,21,1,0,24.0,3,3,1,0,0,0,0,0,0,1
用户74,10,10,10,10,0,0,0,0.0,0.0,0,11,17,1,169.0,4,0,0,0,0,0,0,0,0,1
用户75,10,10,10,10,0,0,0,0.0,0.0,1,8,17,1,1755.0,4,0,0,0,0,0,0,1,0,0
用户76,10,10,10,10,0,0,0,0.0,0.0,0,11,17,0,462.0,4,0,0,0,0,0,0,0,1,0
用户77,8,8,8,10,0,0,0,0.0,0.0,0,21,1,1,144.0,3,0,0,0,0,0,0,1,0,0
用户78,8,8,8,8,0,0,0,0.0,0.0,0,8,17,1,72.0,3,2,3,2,0,0,0,1,0,0
用户79,7,5,5,5,0,0,0,0.0,0.0,0,21,1,0,620.0,3,0,0,0,0,0,0,0,0,1
用户80,4,4,4,5,0,0,0,0.0,0.0,0,8,17,1,25.0,3,1,2,1,0,0,0,0,0,1
用户81,10,10,10,10,0,0,0,0.0,0.0,1,8,17,0,983.0,3,2,1,0,0,0,0,0,0,1
用户82,7,7,7,7,0,0,1,0.0,0.0,0,8,17,0,92.0,3,1,1,0,0,0,0,0,0,1
用户83,10,10,9,10,0,0,1,0.0,0.0,0,8,17,0,1457.0,4,0,0,0,0,0,0,0,0,1
用户84,10,9,9,8,0,0,0,0.0,0.0,1,8,17,0,500.0,3,2,2,0,0,0,0,0,0,1
用户85,7,7,7,7,0,0,0,137.57,30.0,0,8,17,0,290.0,3,3,2,0,0,0,0,1,0,0
用户86,7,7,7,6,1,6,2,0.0,0.0,0,21,14,0,480.0,3,3,1,0,0,0,0,1,0,0
用户87,3,3,3,3,0,0,0,0.0,0.0,0,11,17,1,63.0,3,5,4,5,0,0,0,1,0,0
用户88,10,10,9,10,0,25,0,0.0,0.0,0,15,17,1,133.0,3,3,2,2,0,0,0,1,0,0
用户89,10,8,9,10,0,0,0,0.0,0.0,0,8,17,0,23.0,3,0,0,0,0,0,0,1,0,0
用户90,8,8,5,5,0,0,0,0.0,0.0,0,21,14,0,145.0,3,1,2,1,0,0,0,1,0,0
用户91,7,8,8,7,0,0,0,0.0,0.0,0,21,1,0,82.0,3,2,2,2,0,0,0,0,0,1
用户92,8,7,7,7,1,0,0,0.0,0.0,0,10,6,0,40.0,3,3,1,0,0,0,0,0,0,1
用户93,9,9,10,8,0,157,0,0.0,0.0,0,21,1,1,72.0,3,5,4,1,0,0,0,0,0,1
用户94,8,8,8,8,0,0,0,0.0,0.0,0,0,17,1,1133.0,6,0,0,0,0,0,0,0,0,1
用户95,1,1,1,1,0,0,0,0.0,0.0,0,15,17,0,1497.0,5,2,2,4,0,10,10,0,0,1
用户96,4,4,4,5,0,0,0,0.0,0.0,0,8,17,0,36.0,3,4,4,4,0,0,0,1,0,0
用户97,7,8,6,9,0,0,2,0.0,0.0,1,21,1,0,94.0,3,4,4,2,0,0,0,0,0,1
用户98,10,10,10,10,0,0,0,0.0,0.0,0,21,1,1,113.0,3,0,0,0,0,0,0,0,0,1
用户99,5,5,5,5,0,0,0,0.0,0.0,0,8,17,0,92.0,3,0,0,0,0,0,0,0,1,0
用户100,8,8,7,7,0,0,0,0.0,0.0,0,8,17,0,51.0,3,0,0,0,0,0,0,0,0,1
用户101,9,9,9,10,0,0,0,0.0,0.0,0,11,17,0,367.0,3,0,0,0,0,0,0,0,0,1
用户102,8,8,8,8,0,0,0,0.0,0.0,0,8,17,1,187.0,4,1,1,0,0,0,0,0,0,1
用户103,8,8,8,8,0,0,0,0.0,0.0,0,21,14,0,88.0,3,1,1,0,0,0,0,0,0,1
用户104,10,10,10,10,0,0,0,0.0,3.19,0,16,17,0,42.0,3,2,1,1,0,0,0,0,0,1
用户105,10,5,10,8,1,0,0,0.0,0.0,0,8,17,0,205.0,4,0,0,0,0,0,0,0,0,1
用户106,10,10,6,6,0,0,0,0.0,0.0,0,16,17,0,19.0,2,1,1,0,0,0,0,0,0,1
用户107,7,7,8,5,0,0,0,0.0,0.0,0,8,17,1,90.0,4,2,3,0,0,0,0,0,0,1
用户108,10,10,10,10,0,0,0,0.0,0.0,0,11,17,1,108.0,3,0,0,0,0,0,0,1,0,0
用户109,10,10,9,8,0,7,0,0.0,0.0,0,8,17,0,77.0,3,1,1,0,0,0,0,1,0,0
用户110,10,10,10,10,0,6,0,0.0,23.79,0,21,1,1,71.0,3,0,0,0,0,0,0,0,0,1
用户111,7,6,6,7,0,0,0,0.0,0.0,1,21,1,1,383.0,3,3,4,3,0,0,0,0,1,0
用户112,9,8,8,9,2,0,1,0.0,0.0,0,8,17,0,144.0,3,3,2,2,0,0,0,0,0,1
用户113,10,10,10,10,0,0,0,0.0,0.0,0,21,1,0,33.0,3,1,0,0,0,0,0,1,0,0
用户114,8,8,8,8,0,46,0,0.0,0.0,0,16,16,0,117.0,3,2,1,1,0,0,0,1,0,0
用户115,8,9,7,6,0,0,0,0.0,0.0,0,15,17,0,110.0,3,1,1,1,0,0,0,0,0,1
用户116,10,10,10,10,2,0,0,0.0,0.0,0,8,17,0,166.0,3,0,0,0,0,0,0,0,0,1
用户117,10,10,10,10,0,0,0,0.0,0.0,0,15,17,0,44.0,1,0,0,0,0,0,0,0,0,1
用户118,4,8,8,8,0,0,0,0.0,10.0,0,8,17,0,551.0,3,0,0,0,0,0,0,1,0,0
用户119,8,8,8,8,3,0,20,0.0,0.0,0,21,1,0,709.0,3,2,2,0,0,0,0,0,0,1
用户120,10,10,10,10,0,0,0,0.0,0.0,0,16,17,1,118.0,3,1,2,0,0,0,0,1,0,0
用户121,10,10,10,10,0,0,0,0.0,4.64,0,16,17,1,59.0,3,1,1,0,0,0,0,0,0,1
用户122,10,10,10,10,0,0,0,0.0,0.0,0,8,17,0,964.0,3,0,0,0,0,0,0,1,0,0
用户123,10,10,10,10,0,0,0,0.0,0.0,0,16,17,0,75.0,3,1,1,0,0,0,0,1,0,0
用户124,8,9,9,10,0,0,0,0.0,0.0,0,8,17,0,25.0,3,1,1,1,0,0,0,0,0,1
用户125,9,9,9,8,0,0,0,0.0,0.0,0,21,14,0,236.0,3,2,2,0,0,0,0,1,0,0
用户126,8,8,8,7,7,0,8,0.0,0.0,0,8,17,0,369.0,3,4,1,0,0,0,0,0,0,1
用户127,7,7,7,7,0,7,1,0.0,0.0,0,21,14,0,146.0,4,5,3,0,0,0,0,0,0,1
用户128,10,10,10,10,0,0,0,0.0,0.0,0,21,1,0,54.0,3,0,0,0,0,0,0,0,1,0
用户129,8,9,8,9,0,0,0,0.0,0.0,0,8,17,1,49.0,3,2,2,0,0,0,0,1,0,0
用户130,10,10,10,10,0,0,0,0.0,0.0,0,11,17,0,73.0,3,0,0,0,0,0,0,0,0,1
用户131,8,6,5,8,0,0,0,0.0,0.0,0,8,17,0,83.0,3,3,4,3,0,0,10,1,0,0
用户132,10,10,10,10,0,0,0,0.0,0.0,0,8,17,0,111.0,3,0,0,0,0,0,0,1,0,0
用户133,4,4,4,4,0,0,0,0.0,0.0,0,21,1,1,89.0,3,2,2,3,10,10,0,0,1,0
用户134,10,10,10,10,0,0,0,0.0,0.0,0,8,17,0,103.0,3,7,3,0,0,0,0,1,0,0
用户135,10,10,10,10,0,0,0,0.0,0.0,1,21,14,1,243.0,3,2,2,0,0,0,0,0,0,1
用户136,10,10,10,10,0,0,0,0.0,0.0,0,21,1,1,189.0,3,4,1,0,0,0,0,1,0,0
用户137,10,10,10,10,0,0,0,0.0,0.0,0,21,14,0,64.0,3,0,0,0,0,0,0,0,0,1
用户138,5,10,6,9,0,0,0,0.0,20.0,0,15,17,1,222.0,3,0,0,0,0,0,0,0,0,1
用户139,4,3,5,3,0,7,0,0.0,0.0,0,4,17,0,62.0,3,2,2,0,0,0,0,0,0,1
用户140,5,7,7,9,0,10,0,0.0,0.0,0,15,17,1,26.0,3,1,2,1,0,0,0,1,0,0
用户141,9,8,8,7,0,0,0,0.0,30.0,0,16,17,1,441.0,3,2,3,2,0,0,0,0,0,1
用户142,10,10,10,10,0,0,0,0.0,0.0,0,8,17,1,112.0,3,0,0,0,0,0,0,1,0,0
用户143,10,10,10,10,0,0,0,0.0,0.0,0,15,17,1,487.0,5,0,0,0,0,0,0,0,0,1
用户144,8,8,9,8,0,0,0,0.0,0.0,0,8,17,1,71.0,3,1,1,0,0,0,0,1,0,0
用户145,5,5,5,5,1,0,0,0.0,0.0,0,11,6,0,41.0,3,1,1,2,0,0,0,1,0,0
用户146,10,9,9,9,0,0,0,0.0,0.0,0,8,17,1,65.0,3,1,1,0,0,0,0,1,0,0
用户147,5,9,9,10,0,0,0,0.0,0.0,0,16,17,0,164.0,3,0,0,0,0,0,0,0,0,1
用户148,10,9,9,9,1,0,1,0.0,0.0,0,21,1,1,32.0,3,2,2,0,0,0,0,0,0,1
用户149,10,10,10,10,0,0,0,0.0,0.0,0,16,17,0,330.0,3,0,0,0,0,0,0,0,0,1
用户150,9,8,7,7,0,0,1,0.0,0.0,0,21,1,1,94.0,3,2,2,0,0,0,0,0,0,1
用户151,10,10,10,9,0,0,1,0.0,0.0,0,8,17,1,210.0,3,3,3,2,0,0,0,0,0,1
用户152,10,10,10,10,0,0,0,0.0,0.0,0,21,1,0,27.0,3,0,0,0,0,0,0,1,0,0
用户153,8,8,8,8,0,0,1,0.0,0.0,0,8,17,0,287.0,3,1,2,0,0,0,0,0,0,1
用户154,10,9,10,10,0,0,0,0.0,0.0,0,16,17,0,26.0,4,2,2,0,0,0,0,1,0,0
用户155,10,10,10,10,0,0,0,112.98,30.0,0,8,17,0,246.0,3,0,0,0,0,0,0,1,0,0
用户156,1,1,1,1,1,6,0,0.0,0.0,0,21,1,0,119.0,1,3,2,3,0,0,10,0,1,0
用户157,10,10,10,10,1,0,0,110.66,30.0,0,21,14,0,97.0,3,0,0,0,0,0,0,1,0,0
用户158,8,5,5,4,0,622,0,0.0,0.0,0,8,17,0,324.0,4,2,4,2,0,0,0,0,0,1
用户159,10,10,10,10,0,0,0,0.0,0.0,0,21,1,1,17.0,2,0,0,0,0,0,0,1,0,0
用户160,10,10,10,10,0,0,0,0.0,0.0,0,15,17,1,88.0,3,0,0,0,0,0,0,0,0,1
用户161,4,6,6,2,0,2,0,0.0,0.0,0,21,1,0,54.0,3,1,1,0,0,0,0,0,0,1
用户162,5,8,3,5,0,0,0,0.0,0.0,1,11,17,1,264.0,3,1,2,0,0,0,0,0,0,1
用户163,5,3,3,5,0,0,0,0.0,0.0,0,8,17,0,59.0,4,5,3,3,0,0,0,0,0,1
用户164,10,10,10,10,0,0,0,0.0,0.0,0,8,17,0,690.0,4,0,0,0,0,0,0,1,0,0
用户165,9,9,9,8,0,0,0,0.0,0.0,0,8,17,0,33.0,3,2,1,0,0,0,0,0,0,1
用户166,1,1,1,1,0,0,0,0.0,0.0,0,21,1,1,268.0,3,5,1,0,0,0,0,1,0,0
用户167,9,8,8,9,0,0,0,0.0,0.0,0,21,1,1,12.0,3,1,2,0,0,0,0,0,0,1
用户168,8,9,6,6,0,0,0,0.0,0.0,0,8,17,0,141.0,3,0,0,0,0,0,0,0,0,1
用户169,7,6,6,8,0,0,0,0.0,0.0,0,21,1,1,461.0,3,3,2,0,0,0,0,1,0,0
用户170,10,10,10,10,0,0,0,0.0,0.0,0,11,17,1,21.0,3,0,0,0,0,0,0,0,0,1
用户171,8,8,8,5,1,0,0,0.0,0.0,0,8,17,0,79.0,4,3,2,0,0,0,0,1,0,0
用户172,7,7,8,6,0,0,0,0.0,0.0,0,8,17,0,32.0,3,2,2,0,0,0,0,0,0,1
用户173,9,8,8,8,3,0,0,0.0,0.0,1,8,17,1,47.0,3,1,2,0,0,0,0,1,0,0
用户174,10,10,10,10,0,0,0,0.0,0.0,0,8,17,0,25.0,3,0,0,0,0,0,0,1,0,0
用户175,7,7,7,7,0,0,0,0.0,0.0,0,21,1,0,253.0,4,3,2,0,0,0,0,0,0,1
用户176,10,10,10,10,0,0,0,0.0,0.0,0,8,17,0,188.0,4,3,4,4,0,0,0,0,1,0
用户177,5,5,3,7,0,0,0,0.0,0.0,0,11,17,1,46.0,2,1,2,1,0,0,0,0,0,1
用户178,1,1,1,1,0,0,0,0.0,0.0,0,8,17,0,44.0,4,1,1,0,0,0,0,0,0,1
用户179,1,1,1,1,52,6,0,0.0,0.0,0,16,16,0,6.0,3,2,3,5,0,0,0,0,0,1
用户180,6,6,6,6,0,0,0,231.44,60.0,0,21,1,0,69.0,3,1,1,0,0,0,0,1,0,0
用户181,1,1,1,1,0,0,0,0.0,13.0,0,16,17,0,276.0,1,2,4,4,0,0,0,0,0,1
用户182,10,10,10,10,0,85,0,0.0,0.0,0,15,17,0,412.0,4,0,0,0,0,0,0,0,0,1
用户183,9,9,9,9,0,0,0,0.0,0.0,0,1,17,1,5.0,2,0,0,0,0,0,0,1,0,0
用户184,10,10,10,10,0,0,0,0.0,10.0,0,11,6,1,128.0,3,2,2,3,10,0,10,0,0,1
用户185,7,7,7,5,0,0,0,0.0,0.0,0,21,1,0,171.0,4,4,3,2,0,0,0,1,0,0
用户186,10,10,10,10,0,0,0,0.0,0.0,0,11,17,1,456.0,4,3,2,1,0,0,0,1,0,0
用户187,10,10,10,10,0,0,0,0.0,0.0,0,21,1,0,148.0,3,0,0,0,0,0,0,1,0,0
用户188,9,8,9,9,0,0,0,0.0,0.0,0,8,17,1,58.0,3,1,1,0,0,0,0,0,0,1
用户189,10,10,10,10,0,0,0,0.0,0.0,0,21,1,1,47.0,2,0,0,0,0,0,0,0,0,1
用户190,10,10,10,10,0,0,0,0.0,0.0,0,8,17,0,120.0,3,1,1,0,0,0,0,0,1,0
用户191,10,10,10,10,0,0,0,113.26,31.61,0,21,1,1,392.0,2,0,0,0,0,0,0,1,0,0
用户192,6,5,8,8,0,0,0,0.0,0.0,0,21,14,0,130.0,3,2,1,0,0,0,0,0,0,1
用户193,10,10,10,10,0,0,0,0.0,0.0,0,21,14,0,200.0,3,2,1,0,0,0,0,1,0,0
用户194,8,8,7,6,0,0,0,0.0,0.0,1,8,17,0,55.0,3,4,4,4,10,0,10,0,0,1
用户195,7,7,8,7,0,0,0,0.0,0.0,0,11,17,0,57.0,3,3,2,4,10,0,10,0,0,1
用户196,10,9,8,9,1,0,1,254.85,60.0,0,8,17,0,344.0,3,2,1,0,0,0,0,0,0,1
用户197,10,10,10,10,0,0,0,0.0,0.0,0,15,17,0,50.0,4,3,2,4,0,0,0,0,0,1
用户198,10,10,10,10,5,0,0,0.0,0.0,0,8,17,0,23.0,3,1,2,0,0,0,0,0,0,1
用户199,1,1,1,1,0,6,0,0.0,0.0,0,21,1,1,98.0,3,4,3,3,0,0,0,1,0,0
用户200,10,10,10,10,0,0,0,0.0,0.0,0,21,1,1,614.0,3,0,0,0,0,0,0,0,0,1
用户201,10,10,10,5,4,0,0,0.0,0.0,0,11,17,0,140.0,3,1,2,1,0,0,0,0,0,1
用户202,10,10,10,10,0,0,0,0.0,0.0,0,8,17,0,64.0,3,1,1,0,0,0,0,1,0,0
用户203,10,10,10,10,0,0,0,0.0,0.0,0,3,17,1,463.0,4,0,0,0,0,0,0,0,1,0
用户204,9,8,8,7,0,0,0,0.0,0.0,0,11,17,0,41.0,3,1,1,0,0,0,0,0,0,1
用户205,6,7,7,6,0,0,0,0.0,0.0,0,11,17,0,576.0,3,2,2,0,0,0,0,0,0,1
用户206,9,9,9,9,0,0,0,0.0,0.0,0,8,17,0,56.0,3,0,0,0,0,0,0,0,0,1
用户207,6,7,6,7,0,9,0,0.0,0.0,0,15,17,1,342.0,4,3,3,3,0,0,0,0,0,1
用户208,10,10,10,10,0,0,0,0.0,0.0,0,21,14,0,2647.0,3,0,0,0,0,0,0,1,0,0
用户209,8,8,8,8,0,0,0,0.0,0.0,0,8,17,0,158.0,3,2,3,0,0,0,0,0,0,1
用户210,9,8,8,7,0,0,0,0.0,0.0,0,16,17,1,94.0,3,0,0,0,0,0,0,0,0,1
用户211,10,10,9,10,0,0,0,0.0,0.0,0,15,17,0,67.0,3,0,0,0,0,0,0,1,0,0
用户212,10,10,10,10,0,0,0,0.0,0.0,0,11,17,0,35.0,3,2,1,2,0,0,0,1,0,0
用户213,8,7,6,6,0,0,0,0.0,0.0,0,8,17,0,45.0,3,1,3,3,0,0,0,0,0,1
用户214,10,10,10,10,0,0,0,0.0,0.0,1,21,1,1,1083.0,3,0,0,0,0,0,0,0,0,1
用户215,9,9,9,9,0,0,0,0.0,0.0,0,11,17,0,372.0,3,0,0,0,0,0,0,0,1,0
用户216,10,10,10,10,0,0,2,0.0,0.0,0,21,1,0,96.0,3,2,1,0,0,0,0,0,0,1
用户217,9,7,8,6,0,0,0,0.0,0.0,1,21,1,1,102.0,3,3,4,3,0,0,0,1,0,0
用户218,5,5,5,5,0,0,0,0.0,0.0,0,16,17,1,56.0,2,3,4,2,0,0,0,0,0,1
用户219,1,6,6,6,0,0,0,179.95,5.0,0,8,17,0,128.0,4,2,1,0,0,0,0,0,0,1
用户220,9,9,9,9,0,0,0,211.17,20.0,0,16,17,1,36.0,3,1,0,0,0,0,0,0,0,1
用户221,10,10,9,10,0,0,2,0.0,0.0,0,8,17,0,40.0,3,0,0,0,0,0,0,1,0,0
用户222,10,10,10,10,0,0,0,0.0,0.0,0,16,17,0,49.0,3,0,0,0,0,0,0,0,0,1
用户223,8,10,9,8,0,15,0,0.0,0.0,0,11,17,0,128.0,3,0,0,0,0,0,0,0,0,1
用户224,6,6,5,6,0,0,0,0.0,0.0,0,21,14,0,871.0,3,4,4,3,0,0,0,0,0,1
用户225,10,10,10,10,0,0,0,0.0,0.0,0,8,17,1,56.0,3,0,0,0,0,0,0,1,0,0
用户226,10,10,10,10,0,0,0,0.0,0.0,0,8,17,0,18.0,3,0,0,0,0,0,0,1,0,0
用户227,8,8,8,8,0,0,3,0.0,0.0,0,21,1,0,138.0,3,3,3,0,0,0,0,1,0,0
用户228,10,10,9,8,0,0,2,0.0,0.0,0,8,17,1,82.0,3,2,2,0,0,0,0,0,0,1
用户229,9,8,8,7,0,0,0,0.0,0.0,0,8,17,1,8.0,4,1,2,2,0,0,0,0,0,1
用户230,3,6,9,7,0,0,0,0.0,0.0,0,21,1,0,220.0,3,1,1,0,0,0,0,1,0,0
用户231,10,8,9,8,0,0,0,0.0,0.0,0,21,1,0,311.0,3,2,1,0,0,0,0,0,0,1
用户232,10,8,9,9,0,0,0,0.0,8.88,0,21,1,1,82.0,3,0,0,0,0,0,0,1,0,0
用户233,10,9,9,9,0,0,0,0.0,0.0,0,8,17,1,312.0,4,3,2,0,0,0,0,0,0,1
用户234,8,8,8,8,0,0,0,0.0,0.0,1,8,17,1,352.0,3,0,0,0,0,0,0,0,0,1
