用户id,语音通话整体满意度,网络覆盖与信号强度,语音通话清晰度,语音通话稳定性,是否遇到过网络问题,脱网次数,mos质差次数,未接通掉话次数,4\5G用户,是否关怀用户,套外流量（MB）,是否4G网络客户（本地剔除物联网）,套外流量费（元）,外省语音占比,语音通话-时长（分钟）,省际漫游-时长（分钟）,终端品牌,终端品牌类型,当月ARPU,当月MOU,前3月ARPU,前3月MOU,外省流量占比,GPRS总流量（KB）,GPRS-国内漫游-流量（KB）,是否5G网络客户,客户星级标识,是否投诉,出现问题地点数,出现问题数
42,10,10,10,10,1,0,6,1,5,-1,0.0,1,0.0,1.0,49.0,49.0,22,0,21.0,49.0,0.0,369.0,1.0,17147016.0,17147016.0,1,1,0,3,4
43,8,9,8,8,1,0,0,0,5,-1,0.0,1,0.0,1.0,1181.0,1181.0,22,0,161.0,1181.0,0.0,1250.0,1.0,18282992.0,18282992.0,1,4,0,1,2
44,10,10,10,10,2,0,0,0,4,-1,104.42,1,14.64,1.0,39.0,39.0,11,12,24.64,39.0,0.0,78.0,1.0,121537.0,121537.0,-1,3,0,0,0
45,8,8,8,8,2,0,0,0,5,-1,344.59,1,60.0,1.0,64.0,64.0,11,12,73.75,64.0,0.0,87.0,1.0,1889442.0,1889442.0,1,1,0,0,0
46,10,10,10,10,2,0,0,0,4,-1,1071.89,1,30.0,1.0,159.0,159.0,22,10,162.0,159.0,0.0,262.0,1.0,80135588.0,80135588.0,-1,4,0,0,0
47,7,8,8,7,1,0,0,0,5,-1,0.0,1,0.0,1.0,1124.0,1124.0,11,12,34.4,1124.0,0.0,570.0,1.0,17170595.0,17170595.0,1,2,0,2,1
48,10,10,10,10,2,0,0,0,4,-1,0.0,1,0.0,1.0,1034.0,1034.0,11,12,118.0,1034.0,0.0,765.0,1.0,484432.0,484432.0,-1,4,0,0,0
49,10,10,10,10,2,0,0,0,5,-1,0.0,1,0.0,1.0,185.0,185.0,11,12,65.0,185.0,0.0,138.0,1.0,3833448.0,3833448.0,1,3,0,0,0
50,10,10,10,10,2,0,0,0,5,-1,0.0,1,0.0,1.0,305.0,305.0,18,12,24.0,305.0,0.0,139.0,1.0,6441883.0,6441883.0,1,3,0,0,0
51,10,10,10,10,2,0,0,0,4,-1,0.0,1,0.0,1.0,81.0,81.0,22,0,25.0,81.0,0.0,71.0,1.0,900952.0,900952.0,-1,3,0,0,0
52,10,10,10,10,2,0,0,0,4,-1,0.0,1,0.0,1.0,89.0,89.0,17,12,90.0,89.0,0.0,282.0,1.0,2252861.0,2252861.0,-1,4,0,0,0
53,9,8,9,10,1,0,0,0,4,-1,0.0,1,0.0,1.0,310.0,310.0,18,12,88.19,310.0,0.0,591.0,1.0,1956892.0,1956892.0,-1,3,0,1,1
54,4,3,5,7,1,0,0,0,4,-1,0.0,1,0.0,1.0,260.0,260.0,22,0,21.0,260.0,0.0,384.0,1.0,14982188.0,14982188.0,-1,2,0,4,3
55,9,8,9,9,1,0,0,0,4,-1,0.0,1,0.0,1.0,803.0,803.0,22,0,165.0,803.0,0.0,603.0,1.0,10922812.0,10922812.0,-1,4,0,2,2
56,10,10,10,10,1,0,0,0,4,-1,0.0,1,0.0,1.0,204.0,204.0,22,0,68.0,204.0,0.0,204.0,1.0,48734017.0,48734017.0,-1,3,0,1,3
57,10,10,10,10,2,0,0,0,4,-1,0.0,1,0.0,1.0,360.0,360.0,14,12,50.0,360.0,0.0,595.0,1.0,26872333.0,26872333.0,-1,2,0,0,0
58,10,10,10,10,1,0,0,0,5,-1,703.3,1,21.29,1.0,158.0,158.0,18,12,63.64,158.0,0.0,256.0,1.0,22244606.0,22244606.0,1,3,0,1,1
59,10,10,10,10,1,0,0,0,4,-1,0.0,1,0.0,1.0,1993.0,1993.0,22,0,345.0,1993.0,0.0,1980.0,1.0,29983965.0,29983965.0,-1,6,0,1,1
60,10,10,10,10,2,0,0,0,4,-1,2080.56,1,51.0,1.0,157.0,157.0,11,12,183.0,157.0,0.0,445.0,1.0,51906706.0,51906706.0,-1,3,0,0,0
61,10,10,10,10,1,0,0,0,4,-1,55.64,1,21.0,1.0,68.0,68.0,17,12,48.9,68.0,0.0,240.0,1.0,22755889.0,22755889.0,-1,4,0,1,1
62,10,5,8,8,1,0,0,0,4,-1,0.0,1,0.0,1.0,123.0,123.0,11,12,86.1,123.0,0.0,313.0,1.0,21098550.0,21098550.0,-1,3,0,1,2
63,10,10,10,10,2,0,0,0,5,-1,0.0,1,0.0,1.0,282.0,282.0,11,12,83.0,282.0,0.0,187.0,1.0,48114253.0,48114253.0,1,3,0,0,0
64,10,10,10,10,1,0,0,0,4,-1,0.0,1,0.0,1.0,815.0,815.0,22,10,120.0,815.0,0.0,642.0,1.0,17136267.0,17136267.0,-1,4,0,2,6
65,10,9,10,10,2,0,4,0,4,-1,0.0,1,0.0,1.0,402.0,402.0,11,12,98.0,402.0,0.0,376.0,1.0,172705.0,172705.0,-1,3,0,0,0
66,8,9,9,8,1,0,0,0,4,-1,0.0,1,0.0,1.0,245.0,245.0,22,0,38.0,245.0,0.0,313.0,1.0,7910066.0,7910066.0,-1,3,0,1,2
67,9,8,10,8,1,8,0,0,4,-1,0.0,1,0.0,1.0,78.0,78.0,14,12,29.0,78.0,0.0,255.0,1.0,1658878.0,1658878.0,-1,3,0,2,2
68,10,10,10,10,1,0,0,0,5,-1,0.0,1,9.0,1.0,24.0,24.0,17,12,20.0,24.0,0.0,45.0,1.0,4520690.0,4520690.0,1,2,0,1,1
69,6,8,8,8,2,0,0,0,4,-1,0.0,1,11.89,1.0,10.0,10.0,11,12,21.89,10.0,0.0,70.0,1.0,74002.0,74002.0,-1,3,0,0,0
70,10,10,10,10,2,0,0,0,4,-1,0.0,1,0.0,1.0,213.0,213.0,22,10,21.0,213.0,0.0,210.0,1.0,22021066.0,22021066.0,-1,1,0,0,0
71,9,6,9,7,1,0,0,0,4,-1,0.0,1,0.0,1.0,146.0,146.0,17,6,39.0,146.0,0.0,133.0,1.0,9102582.0,9102582.0,-1,3,0,3,1
72,10,10,10,10,2,0,0,0,5,-1,0.0,1,0.0,1.0,369.0,369.0,22,0,97.9,369.0,0.0,410.0,1.0,11650036.0,11650036.0,1,3,0,0,0
73,10,10,10,10,1,0,0,0,5,-1,0.0,1,0.0,1.0,27.0,27.0,18,12,0.0,27.0,0.0,169.0,1.0,19452886.0,19452886.0,1,4,0,2,1
74,10,10,10,10,2,0,0,0,4,-1,0.0,1,0.0,1.0,25.0,25.0,18,12,26.0,25.0,0.0,29.0,1.0,14865.0,14865.0,-1,3,0,0,0
75,8,8,7,8,2,0,0,0,5,-1,0.0,1,0.0,1.0,170.0,170.0,14,12,32.25,170.0,0.0,91.0,1.0,12927019.0,12927019.0,1,3,0,0,0
76,9,10,10,10,2,0,0,0,4,-1,0.0,1,0.0,1.0,314.0,314.0,11,12,60.0,314.0,0.0,244.0,1.0,23587433.0,23587433.0,-1,2,0,0,0
77,8,3,8,8,1,0,0,0,4,-1,0.0,1,0.0,1.0,47.0,47.0,14,12,19.95,47.0,0.0,102.0,1.0,1789765.0,1789765.0,-1,3,0,1,2
78,10,10,10,10,2,0,0,0,4,-1,0.0,1,0.0,1.0,126.0,126.0,17,12,35.0,126.0,0.0,158.0,1.0,21302993.0,21302993.0,-1,3,0,0,0
79,10,10,10,10,2,0,2,0,4,-1,0.0,1,0.0,1.0,149.0,149.0,17,12,60.0,149.0,0.0,274.0,1.0,3510610.0,3510610.0,-1,3,0,0,0
80,10,10,10,10,2,0,0,0,5,-1,0.0,1,0.0,1.0,134.0,134.0,18,12,54.42,134.0,0.0,419.0,1.0,46943240.0,46943240.0,1,2,0,0,0
81,10,10,10,10,2,0,0,0,4,-1,0.0,1,0.0,1.0,155.0,155.0,11,12,49.0,155.0,0.0,317.0,1.0,1156948.0,1156948.0,-1,1,0,0,0
82,1,1,1,1,1,0,0,0,4,-1,0.0,1,0.0,1.0,828.0,828.0,22,0,48.1,828.0,0.0,361.0,1.0,4984144.0,4984144.0,-1,2,0,8,2
83,1,1,1,1,1,0,0,0,4,-1,0.0,1,95.8,1.0,512.0,512.0,22,10,178.04,512.0,0.0,188.0,1.0,2392221.0,2392221.0,-1,4,0,8,6
84,10,8,10,10,2,0,0,0,4,-1,138.54,1,30.0,1.0,205.0,205.0,22,0,91.59,205.0,0.0,262.0,1.0,55043160.0,55043160.0,-1,3,0,0,0
85,1,1,2,1,1,0,0,0,4,-1,0.0,1,0.0,1.0,408.0,408.0,17,12,68.45,408.0,0.0,315.0,1.0,5723713.0,5723713.0,-1,2,0,1,5
86,10,8,10,7,1,0,0,0,4,-1,0.0,1,0.0,1.0,22.0,22.0,22,0,50.0,22.0,0.0,164.0,1.0,19051574.0,19051574.0,-1,3,0,2,2
87,10,10,10,10,2,0,0,0,4,-1,0.0,1,0.0,1.0,100.0,100.0,18,12,41.95,100.0,0.0,143.0,1.0,24146867.0,24146867.0,-1,3,0,0,0
88,10,10,10,10,2,0,4,0,4,-1,0.0,1,0.0,1.0,625.0,625.0,18,12,34.27,625.0,0.0,460.0,1.0,11695462.0,11695462.0,-1,3,0,0,0
89,1,1,1,1,1,0,0,0,4,-1,0.0,1,0.0,1.0,128.0,128.0,11,12,40.47,128.0,0.0,24.0,1.0,440082.0,440082.0,-1,3,0,6,2
90,10,9,9,10,2,0,0,0,4,-1,0.0,1,0.0,1.0,176.0,176.0,18,12,58.0,176.0,0.0,128.0,1.0,9.0,9.0,-1,3,0,0,0
91,10,10,10,10,2,0,0,0,5,-1,1512.83,1,33.0,1.0,3451.0,3451.0,14,12,116.0,3451.0,0.0,1373.0,1.0,68040140.0,68040140.0,1,3,0,0,0
92,5,8,5,5,1,0,0,0,5,-1,0.0,1,0.0,1.0,2732.0,2732.0,14,12,18.0,2732.0,0.0,5049.0,1.0,1505932.0,1505932.0,1,2,0,1,5
93,10,10,10,10,2,0,4,1,4,-1,0.0,1,0.0,1.0,303.0,303.0,22,10,24.0,303.0,0.0,271.0,1.0,5253848.0,5253848.0,-1,3,0,0,0
94,9,8,7,6,1,0,0,0,5,-1,0.0,1,0.0,1.0,449.0,449.0,22,0,90.0,449.0,0.0,225.0,1.0,23535600.0,23535600.0,1,4,0,1,1
95,1,1,1,1,1,0,0,0,5,-1,0.0,1,0.0,1.0,160.0,160.0,14,12,74.0,160.0,0.0,451.0,1.0,23683075.0,23683075.0,1,1,0,1,3
96,10,10,9,9,2,0,0,0,5,-1,0.0,1,0.0,1.0,341.0,341.0,11,12,49.0,341.0,0.0,212.0,1.0,16678503.0,16678503.0,1,2,0,0,0
97,9,7,9,8,2,0,0,0,2,-1,0.0,-1,0.0,1.0,443.0,443.0,11,12,94.0,443.0,0.0,393.0,1.0,1601.0,1601.0,-1,3,0,0,0
98,10,8,10,10,2,0,0,0,4,-1,0.0,1,0.0,1.0,153.0,153.0,22,10,39.0,153.0,0.0,107.0,1.0,3158302.0,3158302.0,-1,3,0,0,0
99,1,1,1,1,1,0,0,0,4,-1,0.0,1,0.0,1.0,9.0,9.0,22,0,151.1,9.0,20.0,37.0,1.0,11424684.0,11424684.0,-1,5,0,2,3
100,10,10,10,8,2,0,0,0,4,-1,0.0,1,0.0,1.0,1590.0,1590.0,14,12,76.18,1590.0,0.0,2295.0,1.0,42842647.0,42842647.0,-1,3,0,0,0
101,6,7,4,5,1,0,2,0,4,-1,0.0,1,0.0,1.0,193.0,193.0,14,12,49.1,193.0,0.0,165.0,1.0,2233245.0,2233245.0,-1,2,0,1,3
102,1,1,1,1,1,0,0,0,5,-1,0.0,1,0.0,1.0,48.0,48.0,22,0,10.0,48.0,0.0,105.0,1.0,31385783.0,31385783.0,1,1,0,1,4
103,3,5,5,5,1,0,0,0,4,-1,0.0,1,0.0,1.0,94.0,94.0,11,12,33.2,94.0,0.0,303.0,1.0,44525.0,44525.0,-1,4,0,1,1
104,10,10,10,10,2,0,1,0,4,-1,0.0,1,0.0,1.0,360.0,360.0,22,10,10.6,360.0,0.0,332.0,1.0,18302293.0,18302293.0,-1,2,0,0,0
105,10,10,10,10,2,0,0,0,5,-1,0.0,1,0.0,1.0,206.0,206.0,22,0,49.0,206.0,0.0,165.0,1.0,40895337.0,40895337.0,1,2,0,0,0
106,1,1,1,1,1,0,0,0,4,-1,0.0,1,0.0,1.0,132.0,132.0,22,0,70.1,132.0,0.0,473.0,1.0,17858200.0,17858200.0,-1,2,0,7,3
107,10,8,10,8,1,0,7,0,4,-1,0.0,1,0.0,1.0,16.0,16.0,18,12,21.0,16.0,0.0,143.0,1.0,16822379.0,16822379.0,-1,2,0,3,2
108,9,5,6,9,1,0,0,0,4,-1,0.0,1,0.0,1.0,669.0,669.0,11,12,128.0,669.0,0.0,915.0,1.0,8726955.0,8726955.0,-1,4,0,1,3
109,10,10,10,10,2,0,0,0,4,-1,0.0,1,0.0,1.0,220.0,220.0,22,0,15.0,220.0,0.0,281.0,1.0,8358909.0,8358909.0,-1,3,0,0,0
110,9,9,9,9,2,0,0,0,5,-1,0.0,1,0.0,1.0,1675.0,1675.0,14,4,248.0,1675.0,0.0,1730.0,1.0,57211909.0,57211909.0,1,5,0,0,0
111,1,2,1,2,1,0,0,0,4,-1,151.83,1,10.0,1.0,45.0,45.0,22,10,27.5,45.0,0.0,29.0,1.0,16398188.0,16398188.0,-1,3,0,2,3
112,10,10,10,10,2,0,0,0,5,-1,0.0,1,0.0,1.0,517.0,517.0,11,12,151.0,517.0,0.0,1107.0,1.0,10101687.0,10101687.0,1,4,0,0,0
113,10,10,10,10,2,0,4,0,4,-1,0.0,1,0.0,1.0,173.0,173.0,22,0,128.0,173.0,0.0,363.0,1.0,23152270.0,23152270.0,-1,4,0,0,0
114,9,9,9,8,1,0,0,0,4,-1,0.0,1,0.0,1.0,262.0,262.0,22,0,30.0,262.0,0.0,288.0,1.0,30075108.0,30075108.0,-1,2,0,1,1
115,3,3,3,3,1,0,0,0,4,-1,1055.64,1,150.0,1.0,2051.0,2051.0,22,10,304.0,2051.0,0.0,1610.0,1.0,174541422.0,174541422.0,-1,3,0,2,1
116,7,7,7,7,2,0,0,0,4,-1,10.96,1,3.19,1.0,350.0,350.0,18,11,47.46,350.0,0.0,275.0,1.0,185738.0,185738.0,-1,2,0,0,0
117,10,10,10,10,2,0,0,0,5,-1,0.0,1,0.0,1.0,1.0,1.0,22,0,15.0,1.0,0.0,28.0,1.0,3225910.0,3225910.0,1,3,0,0,0
118,10,10,10,10,1,0,0,0,4,-1,0.0,1,0.0,1.0,107.0,107.0,22,0,90.0,107.0,0.0,318.0,1.0,18976969.0,18976969.0,-1,3,0,1,3
119,10,9,10,9,1,0,0,0,5,-1,0.0,1,0.0,1.0,204.0,204.0,11,12,12.52,204.0,0.0,290.0,1.0,13190351.0,13190351.0,1,3,0,2,1
120,10,8,10,9,1,0,0,0,4,-1,0.0,1,0.0,1.0,51.0,51.0,22,0,97.0,51.0,0.0,146.0,1.0,3738997.0,3738997.0,-1,4,0,2,3
121,10,10,10,10,2,0,0,0,4,-1,0.0,1,0.0,1.0,221.0,221.0,14,12,39.0,221.0,0.0,342.0,1.0,16047408.0,16047408.0,-1,2,0,0,0
122,10,10,10,10,1,0,0,0,4,-1,0.0,1,0.0,1.0,221.0,221.0,17,12,25.0,221.0,0.0,230.0,1.0,135955.0,135955.0,-1,1,0,8,7
123,7,6,8,7,1,0,0,0,4,-1,0.0,1,51.0,1.0,257.0,257.0,11,12,85.8,257.0,0.0,147.0,1.0,24159810.0,24159810.0,-1,3,0,3,4
124,10,10,10,10,2,0,0,0,4,-1,0.0,1,0.0,1.0,105.0,105.0,11,12,40.0,105.0,0.0,237.0,1.0,19426744.0,19426744.0,-1,3,0,0,0
125,10,10,10,10,2,0,0,0,4,-1,0.0,1,0.0,1.0,831.0,831.0,22,10,95.0,831.0,0.0,1180.0,1.0,6745601.0,6745601.0,-1,3,0,0,0
126,8,8,8,8,1,0,0,0,4,-1,0.0,1,0.0,1.0,249.0,249.0,22,0,44.0,249.0,0.0,97.0,1.0,218473.0,218473.0,-1,3,0,1,1
127,10,10,10,10,2,0,0,0,5,-1,0.0,1,0.0,1.0,92.0,92.0,11,12,43.0,92.0,0.0,195.0,1.0,14033054.0,14033054.0,1,3,0,0,0
128,10,10,10,10,2,0,0,0,4,-1,0.0,1,0.0,1.0,258.0,258.0,22,10,25.15,258.0,0.0,177.0,1.0,532682.0,532682.0,-1,3,0,0,0
129,10,10,10,10,1,0,0,0,4,-1,0.0,1,0.0,1.0,219.0,219.0,11,12,39.0,219.0,0.0,641.0,1.0,19804759.0,19804759.0,-1,3,0,1,2
130,10,10,10,10,2,0,0,0,5,-1,0.0,1,0.0,1.0,1138.0,1138.0,11,12,298.0,1138.0,0.0,977.0,1.0,11081706.0,11081706.0,1,6,0,0,0
131,9,9,8,9,1,0,0,0,4,-1,0.0,1,0.0,1.0,1789.0,1789.0,11,12,204.02,1789.0,0.0,2209.0,1.0,33488256.0,33488256.0,-1,4,0,2,4
132,7,7,9,10,2,0,0,0,4,-1,47.16,1,10.0,1.0,96.0,96.0,11,12,19.0,96.0,0.0,130.0,1.0,1935020.0,1935020.0,-1,3,0,0,0
133,10,10,10,10,1,0,0,0,4,-1,0.0,1,0.0,1.0,88.0,88.0,22,0,0.0,88.0,0.0,99.0,1.0,31603753.0,31603753.0,-1,4,0,3,2
134,10,10,10,10,2,0,0,0,4,-1,0.0,1,0.0,1.0,574.0,574.0,22,10,43.8,574.0,0.0,171.0,1.0,14131525.0,14131525.0,-1,1,0,0,0
135,10,10,10,10,2,0,0,0,4,-1,0.0,1,0.0,1.0,1412.0,1412.0,18,12,295.0,1412.0,0.0,4546.0,1.0,67191218.0,67191218.0,-1,6,0,0,0
136,1,1,1,1,1,0,0,18,4,-1,0.0,1,0.0,1.0,517.0,517.0,22,10,73.3,517.0,0.0,268.0,1.0,32692497.0,32692497.0,-1,3,0,5,6
137,1,1,1,1,1,0,0,0,4,-1,0.0,1,0.0,1.0,411.0,411.0,22,0,35.0,411.0,0.0,266.0,1.0,35618200.0,35618200.0,-1,2,0,7,6
138,9,10,8,8,1,0,0,0,4,-1,0.0,1,0.0,1.0,92.0,92.0,22,0,75.0,92.0,0.0,169.0,1.0,11523248.0,11523248.0,-1,3,0,3,4
139,5,6,5,5,1,0,0,0,4,-1,0.0,1,6.96,1.0,6.0,6.0,22,10,14.96,6.0,0.0,165.0,1.0,672754.0,672754.0,-1,3,0,4,2
140,10,10,10,10,2,0,1,0,4,-1,0.0,1,0.0,1.0,110.0,110.0,18,12,51.0,110.0,0.0,84.0,1.0,13075727.0,13075727.0,-1,3,0,0,0
141,10,9,10,9,1,0,0,0,4,-1,0.0,1,0.0,1.0,216.0,216.0,11,12,57.17,216.0,0.0,85.0,1.0,530535.0,530535.0,-1,1,0,2,2
142,10,10,10,10,2,0,0,0,4,-1,0.0,1,0.0,1.0,180.0,180.0,17,12,60.0,180.0,0.0,234.0,1.0,2381227.0,2381227.0,-1,3,0,0,0
143,2,5,5,3,1,0,0,0,4,-1,0.0,1,0.0,1.0,659.0,659.0,22,0,298.0,659.0,0.0,207.0,1.0,13444581.0,13444581.0,-1,6,0,1,2
144,10,10,10,10,2,0,0,0,4,-1,0.0,1,0.0,1.0,112.0,112.0,11,12,45.0,112.0,0.0,176.0,1.0,10545196.0,10545196.0,-1,2,0,0,0
145,9,7,10,7,1,0,0,0,4,-1,609.85,1,18.0,1.0,315.0,315.0,11,12,100.93,315.0,0.0,974.0,1.0,14905726.0,14905726.0,-1,4,0,1,3
146,10,10,10,10,2,0,0,0,5,-1,0.0,1,0.0,1.0,56.0,56.0,17,12,165.0,56.0,0.0,675.0,1.0,3337586.0,3337586.0,1,4,0,0,0
